数据挖掘工程师,25,50,深圳,3,5,本科,全职
数据挖掘工程师,20,35,北京,3,5,硕士,全职
数据挖掘,8,15,北京,0,0,硕士,全职
数据挖掘工程师,25,40,北京,0,0,本科,全职
数据挖掘工程师,20,40,北京,3,5,本科,全职
数据挖掘工程师,20,40,北京,1,3,,全职
数据挖掘工程师-北京,12,20,北京,1,3,本科,全职
数据挖掘工程师,15,25,杭州,1,3,本科,全职
数据挖掘/机器学习,20,40,北京,1,3,本科,全职
数据挖掘工程师,20,40,北京,3,5,本科,全职
数据挖掘工程师,10,20,深圳,1,3,硕士,全职
数据挖掘工程师,15,20,广州,0,0,本科,全职
数据挖掘工程师-（全球化增长）,30,50,北京,0,0,本科,全职
高级数据挖掘工程师,40,80,北京,3,5,本科,全职
数据挖掘工程师,18,35,北京,1,3,硕士,全职
数据挖掘工程师,8,16,成都,3,5,本科,全职
数据挖掘工程师,20,40,北京,0,0,本科,全职
数据挖掘,15,20,杭州,1,3,本科,全职
数据挖掘/机器学习算法,33,50,北京,3,5,硕士,全职
数据挖掘工程师,8,12,北京,1,3,本科,全职
数据挖掘,20,40,深圳,1,3,本科,全职
数据挖掘工程师,15,30,成都,3,5,本科,全职
数据挖掘/机器学习,15,30,北京,1,3,本科,全职
数据挖掘工程师,15,20,苏州,3,5,本科,全职
数据挖掘,15,25,上海,3,5,硕士,全职
数据挖掘工程师（北京）,20,40,深圳,3,5,本科,全职
数据挖掘开发工程师,20,40,北京,3,5,本科,全职
数据挖掘工程师,20,40,北京,3,5,本科,全职
数据挖掘工程师,20,40,北京,3,5,硕士,全职
数据挖掘工程师,8,16,成都,1,3,本科,全职
数据挖掘工程师,15,30,北京,3,5,本科,全职
数据挖掘工程师(MJ000781),15,30,广州,1,3,本科,全职
数据挖掘工程师,15,30,深圳,1,3,本科,全职
数据挖掘工程师,10,20,北京,1,3,本科,全职
数据挖掘工程师--北京,20,40,北京,3,5,本科,全职
数据挖掘方向,20,40,北京,3,5,本科,全职
数据挖掘开发,20,35,上海,3,5,本科,全职
数据挖掘工程师,25,33,北京,5,10,本科,全职
数据挖掘工程师,25,35,北京,3,5,硕士,全职
数据挖掘工程师,10,20,武汉,0,0,,全职
数据挖掘工程师,20,40,北京,3,5,本科,全职
数据挖掘工程师,25,50,北京,1,3,本科,全职
数据挖掘工程师（北京）,25,40,北京,1,3,本科,全职
数据挖掘工程师,20,40,杭州,0,0,本科,全职
数据挖掘工程师/leader--北京,20,40,北京,3,5,,全职
数据挖掘工程师,15,25,武汉,3,5,本科,全职
数据挖掘leader,30,50,北京,5,10,本科,全职
数据挖掘工程师,25,50,北京,1,3,本科,全职
数据挖掘工程师,15,25,北京,3,5,本科,全职
数据挖掘工程师,20,40,上海,3,5,本科,全职
数据挖掘工程师,20,40,北京,3,5,本科,全职
数据挖掘工程师,25,35,深圳,3,5,本科,全职
数据挖掘工程师(上海),15,30,上海,1,3,本科,全职
数据挖掘工程师,25,50,北京,3,5,本科,全职
数据挖掘研发工程师,20,40,北京,3,5,本科,全职
数据挖掘实习生,3,6,北京,0,0,本科,实习
数据挖掘工程师,8,15,长沙,3,5,大专,全职
数据挖掘,6,10,东莞,1,3,大专,全职
数据挖掘工程师（中台技术）,15,30,北京,3,5,本科,全职
数据挖掘工程师,10,15,长沙,3,5,本科,全职
数据挖掘顾问,20,30,北京,5,10,本科,全职
资深数据挖掘工程师(MJ00...,20,40,深圳,3,5,本科,全职
数据挖掘工程师,30,50,北京,1,3,硕士,全职
数据挖掘工程师,25,35,上海,3,5,本科,全职
数据挖掘工程师,20,40,广州,5,10,本科,全职
数据挖掘工程师+北京,20,40,北京,0,0,本科,全职
数据挖掘工程师,15,20,上海,1,3,本科,全职
数据挖掘工程师,20,40,北京,1,3,本科,全职
数据挖掘工程师/专家,25,50,北京,1,3,本科,全职
数据挖掘经理,15,30,北京,5,10,本科,全职
垂直搜索-数据挖掘研究员,15,25,北京,1,3,本科,全职
数据挖掘工程师,25,38,北京,3,5,本科,全职
数据挖掘&算法工程师,18,30,上海,1,3,本科,全职
数据挖掘实习生,3,5,北京,0,0,本科,全职
数据挖掘工程师,15,25,北京,3,5,本科,全职
数据挖掘工程师,20,35,北京,1,3,本科,全职
数据挖掘/机器学习,15,30,北京,1,3,本科,全职
数据挖掘工程师,15,25,杭州,3,5,本科,全职
数据挖掘工程师,18,30,北京,1,3,本科,全职
数据挖掘工程师,16,30,北京,0,0,本科,全职
数据挖掘工程师,10,20,上海,0,0,本科,全职
数据挖掘工程师,20,35,北京,1,3,本科,全职
数据挖掘师,20,30,北京,1,3,本科,全职
搜狗明医-数据挖掘工程师-...,30,50,北京,3,5,硕士,全职
数据挖掘工程师（成都）,12,24,成都,5,10,本科,全职
高级数据挖掘工程师,20,40,深圳,3,5,本科,全职
数据挖掘经理,15,30,北京,5,10,本科,全职
数据挖掘开发工程师,15,30,北京,3,5,本科,全职
数据挖掘工程师,20,35,北京,3,5,本科,全职
数据挖掘工程师,25,50,北京,3,5,本科,全职
数据挖掘实习生（应往届）,4,6,无锡,1,0,大专,全职
